datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,29,0,0.9,-20.027,-47.22,15.2
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,29,0,1,-20.11,-47.108,12
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,DIVINOPOLIS,Cerrado,29,0,1,-20.114,-44.99,9.7
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,DIVINOPOLIS,Cerrado,29,0,1,-20.124,-44.988,22.9
2020/06/24 16:05:00,AQUA_M-T,Brasil,MINAS GERAIS,RIO ACIMA,Mata Atlantica,29,0,-999,-20.098,-43.73,46.2
2020/06/24 16:05:00,AQUA_M-T,Brasil,MINAS GERAIS,RIO ACIMA,Mata Atlantica,29,0,-999,-20.102,-43.738,29
2020/06/24 16:05:00,AQUA_M-T,Brasil,MINAS GERAIS,ITABIRITO,Mata Atlantica,30,0,0.9,-20.25,-43.77,34.5
2020/06/25 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,UNAI,Cerrado,30,0,1,-16.385,-46.904,8.4
2020/06/25 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,31,0,1,-17.147,-46.828,11.4
2020/06/25 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,31,0,1,-17.148,-46.837,12.3
2020/06/25 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,TURMALINA,Cerrado,30,0,0.8,-17.17,-42.842,8
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,LAGOA DA PRATA,Cerrado,31,0,1,-20.083,-45.488,105.9
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,LAGOA DA PRATA,Cerrado,31,0,1,-20.074,-45.49,73.3
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,LAGOA DA PRATA,Cerrado,31,0,1,-20.082,-45.479,5.6
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,OURO PRETO,Mata Atlantica,31,0,-999,-20.398,-43.569,10.3
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,PAINS,Cerrado,31,0,0.8,-20.426,-45.707,13.1
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,PAINS,Cerrado,31,0,1,-20.428,-45.716,17.9
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,RESENDE COSTA,Mata Atlantica,31,0,1,-20.768,-44.196,9.5
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,RESENDE COSTA,Mata Atlantica,31,0,1,-20.769,-44.206,4.3
2020/06/24 16:05:00,AQUA_M-T,Brasil,MINAS GERAIS,ITAMARANDIBA,Cerrado,29,0,0.7,-17.606,-42.783,24
2020/06/24 16:05:00,AQUA_M-T,Brasil,MINAS GERAIS,ARACUAI,Mata Atlantica,29,0,1,-16.689,-42.007,35
2020/06/24 16:05:00,AQUA_M-T,Brasil,MINAS GERAIS,RIO ACIMA,Mata Atlantica,30,0,-999,-20.098,-43.703,28.2
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,UNAI,Cerrado,28,0,1,-15.839,-46.56,12.1
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,GUARDA-MOR,Cerrado,29,0,0.9,-17.702,-46.959,8.4
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,AUGUSTO DE LIMA,Cerrado,24,0,1,-18.117,-44.034,32.1
